match_day,match_date,home_team,away_team,home_team_score,away_team_score,HT_num_goals_firsthalf,HT_num_goals_secondhalf,AT_num_goals_firsthalf,AT_num_goals_secondhalf,match_link,home_posession,away_posession,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_saves,away_saves,home_offsides,away_offsides,home_yellow,away_yellow,home_red,away_red
Wed,Apr 3,Valencia,Real Madrid,2,1,1,1,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/valencia-cf-v-real-madrid/game-center/sp-id-80402000001009615,32,68,11,15,4,5,9,13,6,6,4,2,2,1,1,2,0,0
Wed,Apr 3,Eibar,Rayo,2,1,0,2,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/eibar-v-rayo-vallecano/game-center/sp-id-80402000001009608,45,55,12,14,6,3,14,9,2,6,2,4,2,5,1,2,0,0
Wed,Apr 3,Huesca,Celta,3,3,0,3,1,2,https://www.msn.com/en-us/sports/soccer/la-liga/huesca-v-celta-de-vigo/game-center/sp-id-80402000001009614,53,47,22,11,6,5,9,12,,,2,3,,,2,3,0,0
Wed,Apr 3,Athletic,Levante,3,2,2,1,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/athletic-club-v-levante/game-center/sp-id-80402000001009606,40,60,14,11,7,6,13,14,2,9,4,4,1,1,3,5,0,1
Tue,Apr 2,Villarreal,Barça,4,4,1,3,2,2,https://www.msn.com/en-us/sports/soccer/la-liga/villarreal-v-barcelona/game-center/sp-id-80402000001009612,32,68,16,15,9,9,10,10,5,3,5,5,2,4,2,7,1,0
Tue,Apr 2,Espanyol,Getafe,1,1,0,1,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/espanyol-v-getafe/game-center/sp-id-80402000001009609,51,49,9,13,3,3,14,14,5,4,2,2,3,1,4,3,0,0
Tue,Apr 2,Atlético,Girona,2,0,0,2,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/atl%c3%a9tico-de-madrid-v-girona/game-center/sp-id-80402000001009607,49,51,17,12,7,4,10,9,4,3,4,6,,,1,0,0,0
Sun,Mar 31,Real Madrid,Huesca,3,2,1,2,1,1,https://www.msn.com/en-us/sports/soccer/la-liga/real-madrid-v-huesca/game-center/sp-id-80402000001009604,71,29,16,15,8,3,9,18,4,6,1,5,,,1,3,0,0
Sun,Mar 31,Valladolid,Real Sociedad,1,1,1,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/real-valladolid-v-real-sociedad/game-center/sp-id-80402000001009605,41,59,11,10,4,1,18,8,7,5,,,3,2,4,1,0,0
Sun,Mar 31,Sevilla FC,Valencia,0,1,0,0,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/sevilla-v-valencia-cf/game-center/sp-id-80402000001009600,60,40,17,4,5,2,18,9,5,3,1,5,4,1,3,1,0,0
